Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,928,206,308.5,1759.667025862069,82,6199,1326.0862068965516,1.9536842105263157,0.4336842105263158,150.0,308.5,2818.75,6034.0,6038.0,6040.0,6041.0,6044.73,6132.256000000007,6192.325599999997,6199.0,2408.0308552641063
DELETE,ToDo-Delete,485,140,208.0,1122.5505154639175,52,6090,969.4494845360824,1.025369978858351,0.2959830866807611,117.0,208.0,608.0,1034.2000000000032,6035.0,6038.0,6041.0,6046.16,6085.644,6089.564399999999,6090.0,2005.4971931571226
GET,ToDo-Get-All,920,105,314.5,1167.263043478261,109,6073,53605.02173913043,1.936842105263158,0.22105263157894736,222.0,314.5,691.25,1117.6000000000001,6033.0,6037.0,6040.0,6041.0,6057.377000000002,6071.437699999998,6073.0,1897.7860752245183
GET,ToDo-Get-Single,1853,188,210.0,1035.2369131138694,76,6075,11337.246087425796,3.8846960167714886,0.3941299790356394,126.0,210.0,598.0,911.200000000001,6031.0,6037.0,6040.0,6041.0,6048.148,6070.184799999997,6075.0,1853.4165321886048
UPDATE,ToDo-Update,1526,466,177.0,1091.7169069462648,51,6067,948.0530799475754,3.19916142557652,0.9769392033542977,107.0,177.0,511.5,999.0,6034.0,6038.0,6041.0,6043.75,6058.475,6065.779999999999,6067.0,1990.653351137745
,Aggregated,5712,1105,235.0,1196.6988795518207,51,6199,12862.755077030812,11.974842767295597,2.3165618448637315,131.0,235.0,710.25,1346.0,6035.0,6038.0,6040.0,6043.0,6068.734000000004,6157.880799999926,6199.0,2024.173620023254
