Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,588,0,141.0,205.87074829931973,85,3642,823.4710884353741,1.2537313432835822,0.0,117.0,141.0,186.25,202.60000000000002,267.8000000000004,455.29999999999995,898.079999999999,1485.3799999999999,3641.413,3641.9413,3642.0,298.82967685589205
DELETE,ToDo-Delete,315,0,142.0,186.2095238095238,87,2449,689.447619047619,0.6745182012847966,0.0,119.0,142.0,177.0,189.20000000000002,269.00000000000034,379.2000000000004,633.999999999997,1020.8200000000005,2227.630000000025,2426.8629999999866,2449.0,199.58981959847586
GET,ToDo-Get-All,592,0,188.0,206.77195945945945,103,1280,35108.03040540541,1.2595744680851064,0.0,161.0,188.0,224.0,236.0,278.9,325.3499999999998,455.01999999999805,544.6000000000013,1040.6450000000427,1256.0644999999768,1280.0,91.18674442925243
GET,ToDo-Get-Single,1183,0,127.0,143.96703296703296,82,3063,820.6500422654269,2.5116772823779194,0.0,110.0,127.0,154.0,162.0,194.0,233.0,312.3599999999999,361.5400000000002,676.2440000000333,2784.284399999728,3063.0,100.67788726091369
UPDATE,ToDo-Update,964,1,138.0,183.83817427385893,85,6036,692.0031120331951,2.051063829787234,0.002127659574468085,117.0,138.0,183.0,196.0,258.0,356.09999999999945,541.0200000000002,687.7,4542.38700000023,5886.638699999935,6036.0,271.6044608084245
,Aggregated,3642,1,142.0,178.37726523887974,82,6036,6349.052992861065,7.732484076433121,0.0021231422505307855,118.0,142.0,184.75,197.80000000000018,246.0,316.9499999999998,488.17999999999984,707.3600000000006,3270.5020000002187,5471.280899999636,6036.0,206.4812533927139
