Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,240,0,137.0,150.375,86,1574,823.8666666666667,0.511727078891258,0.0,119.0,137.0,155.0,162.0,187.0,224.0,298.52,357.5999999999991,1307.0370000000269,1547.3036999999708,1574.0,101.92166673788068
DELETE,ToDo-Delete,123,0,143.0,183.21138211382114,93,1622,689.8373983739838,0.26973684210526316,0.0,125.5,143.0,175.0,188.60000000000002,217.59999999999997,304.5999999999997,838.0000000000015,1138.82,1563.562000000007,1616.1561999999967,1622.0,188.02725875074603
GET,ToDo-Get-All,237,0,156.0,182.7805907172996,94,1696,14823.864978902953,0.5074946466809421,0.0,133.0,156.0,185.0,195.0,221.4,262.59999999999997,538.4000000000001,818.4799999999989,1560.772000000022,1682.4771999999907,1696.0,143.12893604560847
GET,ToDo-Get-Single,473,0,133.0,150.8372093023256,85,1981,820.985200845666,1.0106837606837606,0.0,117.0,133.0,152.0,157.0,179.0,239.39999999999986,337.04,503.91999999999825,1567.5280000000673,1939.6527999999719,1981.0,115.14182913226766
UPDATE,ToDo-Update,386,0,136.0,152.1580310880829,84,1026,689.8834196891191,0.8247863247863247,0.0,120.0,136.0,156.0,162.0,183.5,202.0,421.60000000000014,696.4499999999977,965.9400000000103,1019.9939999999913,1026.0,93.58806339837774
,Aggregated,1459,0,138.0,159.02878684030156,84,1981,3050.3461274845786,3.1108742004264394,0.0,121.0,138.0,160.0,167.0,194.20000000000005,240.19999999999982,397.2399999999991,716.7000000000062,1662.1080000000106,1939.4469999999328,1981.0,121.52977470233124
