Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,474,0,142.0,162.73839662447259,87,1392,824.0,1.0063694267515924,0.0,123.0,142.0,174.75,186.0,223.0,267.34999999999997,369.0799999999999,458.579999999999,1181.0420000000195,1370.9041999999715,1392.0,95.1144582680832
DELETE,ToDo-Delete,265,0,146.0,161.81132075471697,88,595,690.0,0.5626326963906582,0.0,125.0,146.0,178.0,189.0,222.59999999999997,270.59999999999997,334.43999999999994,407.9600000000012,593.4160000000003,594.8415999999999,595.0,64.86835637839029
GET,ToDo-Get-All,468,0,179.0,187.69444444444446,95,1340,28529.786324786324,1.0,0.0,155.0,179.0,205.0,214.0,240.3,265.65,301.6199999999998,346.9599999999998,946.7860000000609,1300.678599999963,1340.0,71.32579451114252
GET,ToDo-Get-Single,940,0,125.0,134.13191489361702,82,408,821.1808510638298,2.0,0.0,110.0,125.0,147.0,156.0,176.10000000000002,197.04999999999995,251.44000000000005,298.4900000000001,394.8540000000021,406.68539999999894,408.0,39.40029195214094
UPDATE,ToDo-Update,770,2,145.0,198.77142857142857,85,6036,696.225974025974,1.6417910447761195,0.0042643923240938165,124.0,145.0,186.75,202.0,266.0,346.0999999999999,544.0800000000002,939.4899999999902,6035.231,6035.9231,6036.0,342.251224794184
,Aggregated,2917,2,142.0,166.9513198491601,82,6036,5222.2728830990745,6.193205944798302,0.004246284501061571,120.0,142.0,178.0,188.0,223.0,269.1999999999998,366.67999999999984,488.2400000000016,2249.6240000001253,6035.7083999999995,6036.0,186.39411971043077
