Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,1148,14,125.0,291.4024390243902,81,6059,851.1637630662021,2.4373673036093417,0.029723991507430998,108.0,125.0,168.0,192.0,315.0,698.6999999999975,2704.539999999953,6033.53,6041.559,6057.050099999999,6059.0,777.52452960359
DELETE,ToDo-Delete,591,15,128.0,283.25211505922164,59,6042,707.0423011844332,1.2574468085106383,0.031914893617021274,107.0,128.0,180.5,209.0,346.0,759.0,1828.0000000000136,5022.8000000000175,6039.64,6041.763999999999,6042.0,706.3454278530503
GET,ToDo-Get-All,1149,35,279.0,582.8041775456919,110,6042,69755.75282854657,2.4394904458598727,0.07430997876857749,229.0,279.0,361.0,407.4000000000001,769.0,2386.999999999994,6036.0,6037.0,6041.0,6041.8852,6042.0,1109.5110589883168
GET,ToDo-Get-Single,2305,56,132.0,403.504989154013,78,6058,1620.78568329718,4.89384288747346,0.11889596602972399,108.0,132.0,201.0,239.0,519.7999999999997,1334.3999999999992,6033.0,6037.0,6045.088000000002,6056.617599999998,6058.0,1029.8570352745267
UPDATE,ToDo-Update,1873,56,123.0,315.86438868126004,56,6047,727.040576615056,3.976645435244161,0.11889596602972399,106.0,123.0,167.0,190.60000000000014,329.5999999999999,805.5999999999995,3726.8399999999774,6035.0,6041.640000000001,6046.8128,6047.0,856.7200664149503
,Aggregated,7066,176,138.0,381.1586470421738,56,6059,12261.819416926126,15.00212314225053,0.37367303609341823,110.0,138.0,244.0,280.0,468.0,1225.75,6022.099999999996,6036.35,6042.0,6058.293499999999,6059.0,943.512684079359
