Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,705,0,127.0,167.86950354609928,81,2428,823.5120567375886,1.5031982942430704,0.0,108.0,127.0,160.0,172.20000000000005,241.80000000000018,337.5999999999997,584.8799999999994,879.7200000000039,2209.056000000015,2406.1055999999803,2428.0,172.74126735232127
DELETE,ToDo-Delete,377,0,132.0,157.48806366047745,87,1353,689.501326259947,0.8125,0.0,113.0,132.0,165.0,176.0,216.40000000000003,257.19999999999993,456.96000000000095,586.8400000000008,1281.1840000000045,1345.8183999999897,1353.0,113.10410141140346
GET,ToDo-Get-All,712,0,198.0,226.93960674157304,102,4096,44041.1095505618,1.5116772823779194,0.0,165.0,198.0,235.0,245.80000000000007,284.9,362.24999999999966,571.5799999999997,870.56,2527.5340000002225,3939.1533999997464,4096.0,200.9928044946773
GET,ToDo-Get-Single,1416,0,121.0,145.09110169491527,79,3342,820.603813559322,3.0063694267515926,0.0,104.0,121.0,145.0,154.0,195.0,255.5,381.5000000000002,465.8499999999999,2148.170000000317,3243.657499999876,3342.0,138.13429540634476
UPDATE,ToDo-Update,1163,4,126.0,186.30438521066208,81,6038,697.7661220980224,2.4797441364605546,0.008528784648187633,107.0,126.0,161.0,178.0,252.79999999999995,405.7999999999997,597.5199999999998,998.0199999999907,6037.0,6037.8838,6038.0,378.9517385877626
,Aggregated,4373,4,132.0,174.11914017836725,79,6038,7814.147038646238,9.284501061571126,0.008492569002123142,109.0,132.0,178.0,193.0,246.80000000000018,315.39999999999964,508.5599999999995,848.9999999999936,3815.512000000461,6037.5628,6038.0,240.0310158976463
