Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,588,5,143.0,295.2517006802721,86,6040,843.2431972789116,1.2352941176470589,0.01050420168067227,113.0,143.0,214.5,245.80000000000007,367.9000000000009,686.1499999999993,2310.359999999999,4380.739999999992,6038.239,6039.823899999999,6040.0,687.6344517725712
DELETE,ToDo-Delete,312,5,141.0,297.1826923076923,58,6043,711.9839743589744,0.6610169491525424,0.01059322033898305,118.0,141.0,203.25,217.8,354.9000000000004,657.8999999999997,2332.2599999999766,5130.669999999986,6041.134,6042.8134,6043.0,723.0226579740454
GET,ToDo-Get-All,591,0,181.0,212.72419627749576,92,2075,36889.712351945855,1.2415966386554622,0.0,149.0,181.0,232.0,249.0,297.0,392.5,529.0000000000002,685.1000000000009,1617.7500000000634,2029.274999999936,2075.0,137.48688716514536
GET,ToDo-Get-Single,1181,0,119.0,144.94919559695174,78,4494,1146.3141405588485,2.4758909853249476,0.0,102.0,119.0,147.0,157.0,200.0,258.0,332.2000000000003,431.0000000000002,2152.9800000001046,4231.331999999631,4494.0,162.8975214712337
UPDATE,ToDo-Update,983,14,141.0,274.9593082400814,60,6045,705.8870803662259,2.0651260504201683,0.029411764705882353,111.0,141.0,202.0,230.0,346.80000000000007,577.3999999999996,2019.08,3877.379999999958,6038.126000000001,6044.312599999999,6045.0,646.804219956466
,Aggregated,3655,24,139.0,228.04897400820792,58,6045,6721.606019151846,7.662473794549266,0.050314465408805034,111.0,139.0,193.0,212.0,288.0,430.0,936.6800000000003,2327.560000000003,6037.3460000000005,6044.269199999999,6045.0,498.50095380018774
