Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,237,0,127.0,132.56118143459915,84,385,824.0,0.5096774193548387,0.0,114.0,127.0,147.0,151.0,162.8,174.2,207.56,225.79999999999973,349.8360000000057,381.48359999999764,385.0,30.350101420348114
DELETE,ToDo-Delete,138,0,133.5,147.05072463768116,91,1030,690.0,0.2955032119914347,0.0,122.25,133.5,150.0,155.0,169.0,193.3,299.05999999999835,442.44999999999993,950.2660000000162,1022.0265999999999,1030.0,87.75374656370757
GET,ToDo-Get-All,234,0,146.5,152.8034188034188,93,379,13285.273504273504,0.5010706638115632,0.0,132.0,146.5,167.0,174.0,193.40000000000003,216.74999999999997,243.34,269.4199999999997,370.8450000000008,378.1844999999988,379.0,36.926034249957056
GET,ToDo-Get-Single,471,0,124.0,127.48407643312102,78,400,821.1146496815287,1.0021276595744681,0.0,109.0,124.0,140.0,144.0,157.0,168.0,188.79999999999956,255.1000000000002,382.1400000000011,398.21399999999903,400.0,31.03257144648796
UPDATE,ToDo-Update,383,0,128.0,133.35248041775458,83,704,690.0,0.8148936170212766,0.0,110.0,128.0,148.0,151.0,164.0,180.0,198.16000000000008,243.86000000000053,569.1540000000183,690.5153999999939,704.0,41.94122711353993
,Aggregated,1463,0,130.0,135.7382091592618,78,1030,2768.4736842105262,3.1127659574468085,0.0,113.0,130.0,149.0,153.0,168.0,183.0,220.76,271.1799999999987,585.728000000061,982.3387999999559,1030.0,44.05209835445883
