Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,120,0,154.0,156.23333333333332,90,249,823.425,0.2569593147751606,0.0,135.5,154.0,175.25,179.0,190.40000000000003,207.2,224.58000000000004,241.77000000000004,248.52400000000006,248.95239999999995,249.0,29.113724660122656
DELETE,ToDo-Delete,62,0,155.5,183.24193548387098,98,1543,689.4032258064516,0.13333333333333333,0.0,139.0,155.5,169.5,176.20000000000002,192.8,214.74999999999997,462.98000000000025,916.5300000000007,1480.3530000000073,1536.7352999999964,1543.0,183.76068591512106
GET,ToDo-Get-All,120,0,153.0,165.66666666666666,98,826,8368.641666666666,0.2575107296137339,0.0,133.75,153.0,173.0,178.0,208.0,257.1,308.0000000000002,332.67,767.452000000007,820.1451999999945,826.0,72.99929012355817
GET,ToDo-Get-Single,240,0,146.5,154.3625,91,448,820.5541666666667,0.5150214592274678,0.0,130.0,146.5,167.0,173.0,198.0,226.09999999999997,281.69999999999993,333.1999999999997,429.59700000000186,446.159699999998,448.0,44.388804352931665
UPDATE,ToDo-Update,188,0,151.0,170.88829787234042,91,1558,689.3989361702128,0.4034334763948498,0.0,134.0,151.0,170.0,175.6,192.90000000000003,253.0500000000001,368.3199999999997,532.9999999999959,1512.746000000004,1553.474599999994,1558.0,139.96780864152583
,Aggregated,730,0,152.0,163.23698630136985,90,1558,2016.8917808219178,1.553191489361702,0.0,133.0,152.0,171.0,175.20000000000005,198.0,228.54999999999995,315.1999999999996,385.91000000000076,1547.065000000001,1556.9064999999982,1558.0,97.92495938175063
