Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,791,64,191.0,850.4083438685209,86,6055,1007.0998735777497,1.661764705882353,0.13445378151260504,138.0,191.0,395.5,601.0,2514.0,6036.0,6044.2,6047.0,6051.84,6054.683999999999,6055.0,1679.7896858655902
DELETE,ToDo-Delete,406,42,178.0,683.1034482758621,56,6050,786.4581280788177,0.8511530398322851,0.0880503144654088,129.0,178.0,336.75,498.0,1563.0,5194.75,6038.8,6041.9,6048.785,6049.8785,6050.0,1395.269614774867
GET,ToDo-Get-All,789,11,243.0,434.32826362484155,108,6045,49032.24081115336,1.6575630252100841,0.023109243697478993,197.0,243.0,336.0,377.8000000000002,538.0000000000005,918.1999999999989,4231.800000000002,6033.12,6041.848,6044.684799999999,6045.0,833.0673688790221
GET,ToDo-Get-Single,1583,21,156.0,338.72331017056223,83,6045,5353.535691724574,3.3256302521008405,0.04411764705882353,124.0,156.0,238.0,281.0,429.39999999999986,957.4999999999993,2556.679999999981,6034.18,6044.0,6044.8418,6045.0,781.2279123794915
UPDATE,ToDo-Update,1293,170,174.0,732.0092807424594,53,6049,834.6805877803557,2.710691823899371,0.35639412997903563,128.0,174.0,337.0,470.2000000000003,1676.7999999999984,6035.0,6042.16,6046.0,6048.0,6048.8708,6049.0,1540.9241296340372
,Aggregated,4862,308,185.0,570.8319621554916,53,6055,10151.42842451666,10.19287211740042,0.6457023060796646,133.0,185.0,310.0,365.0,878.9000000000005,3695.95,6037.0,6044.0,6049.139,6053.0556,6055.0,1266.591752742867
