Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,12,0,228.0,227.75,161,268,824.0,0.02830188679245283,0.0,213.5,228.0,252.5,255.8,257.0,261.95,265.58,266.79,267.879,267.98789999999997,268.0,29.563875376423965
DELETE,ToDo-Delete,4,0,242.0,314.0,207,565,690.0,0.01038961038961039,0.0,222.75,242.0,333.25,379.60000000000014,472.30000000000007,518.6499999999999,546.46,555.7299999999999,564.0730000000001,564.9073,565.0,168.53288502050077
GET,ToDo-Get-All,12,0,211.0,222.5,186,279,1666.5,0.02830188679245283,0.0,189.5,211.0,258.5,261.8,272.0,275.7,277.68,278.34000000000003,278.934,278.9934,279.0,36.3080256592496
GET,ToDo-Get-Single,24,0,218.5,212.625,142,249,820.875,0.05333333333333334,0.0,200.75,218.5,233.75,236.8,238.7,245.79999999999998,248.07999999999998,248.54,248.954,248.9954,249.0,28.553249263056927
UPDATE,ToDo-Update,20,0,206.0,206.6,152,263,690.0,0.046511627906976744,0.0,196.0,206.0,218.0,225.4,245.2,247.8,256.92,259.96,262.696,262.96959999999996,263.0,28.040196710774826
,Aggregated,72,0,215.0,220.75,142,565,918.7083333333334,0.15550755939524838,0.0,199.75,215.0,238.0,243.8,257.0,265.25,276.48,361.94000000000176,544.6940000000006,562.9693999999977,565.0,50.90885254654277
