Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,355,0,133.0,143.20281690140845,88,496,823.743661971831,0.7569296375266524,0.0,114.5,133.0,158.0,163.2,189.0,225.50000000000006,272.0,310.51999999999975,453.8740000000018,491.78739999999544,496.0,45.23258778460911
DELETE,ToDo-Delete,184,0,133.0,151.06521739130434,85,650,689.7282608695652,0.39913232104121477,0.0,118.75,133.0,167.25,178.0,201.80000000000007,232.0,289.08000000000004,397.4299999999978,630.9680000000008,648.0967999999989,650.0,62.899921264135536
GET,ToDo-Get-All,354,0,160.0,164.5141242937853,97,442,22807.50282485876,0.7484143763213531,0.0,137.25,160.0,180.0,189.0,210.7,232.74999999999983,280.58,294.2899999999998,396.81600000000617,437.4815999999919,442.0,39.95884672594076
GET,ToDo-Get-Single,713,0,122.0,128.42776998597475,85,1005,820.772791023843,1.5138004246284502,0.0,107.0,122.0,138.0,143.0,158.0,178.39999999999998,219.76,256.19999999999993,594.1760000000719,963.9175999999482,1005.0,46.2370621162075
UPDATE,ToDo-Update,599,0,126.0,139.3989983305509,81,477,689.7462437395659,1.2690677966101696,0.0,109.0,126.0,151.5,157.0,191.20000000000005,229.20000000000005,306.03999999999996,352.0999999999999,467.4320000000007,476.04319999999825,477.0,50.757895400452476
,Aggregated,2205,0,131.0,141.46938775510205,81,1005,4304.564172335601,4.661733615221987,0.0,112.0,131.0,156.0,164.0,188.0,217.79999999999973,278.0,312.0,535.8000000000138,926.7579999999452,1005.0,49.519502398743654
