Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,923,7,128.0,249.1614301191766,82,6043,840.9631635969664,1.9638297872340424,0.014893617021276596,110.0,128.0,166.5,182.60000000000002,275.60000000000014,505.9,1318.9599999999978,3711.9799999999896,6038.39,6042.539,6043.0,621.0612732641562
DELETE,ToDo-Delete,507,6,130.0,223.82445759368835,64,6036,692.8934911242603,1.078723404255319,0.01276595744680851,109.0,130.0,169.5,187.8,294.2000000000001,573.8999999999996,1355.3599999999988,1804.56,5671.17400000002,5999.517399999977,6036.0,461.92837204768034
GET,ToDo-Get-All,918,8,247.0,380.880174291939,101,6038,56976.94008714597,1.9531914893617022,0.01702127659574468,198.0,247.0,312.75,336.0,468.6000000000008,784.0499999999998,1899.4799999999975,4926.630000000003,6037.0830000000005,6037.9083,6038.0,685.1625990616092
GET,ToDo-Get-Single,1848,19,134.5,267.3279220779221,78,6044,1264.3262987012988,3.9235668789808917,0.040339702760084924,109.0,134.5,188.0,210.0,327.29999999999995,577.8499999999988,1344.8399999999965,6000.799999999998,6041.0,6043.445899999999,6044.0,682.286296034106
UPDATE,ToDo-Update,1554,18,126.5,211.07078507078506,55,6042,701.0817245817245,3.299363057324841,0.03821656050955414,108.0,126.5,164.0,182.0,261.70000000000005,444.39999999999964,981.8000000000011,1552.3500000000029,6039.447,6041.689399999999,6042.0,480.0277641503778
,Aggregated,5750,58,140.0,263.50069565217393,55,6044,9888.398782608696,12.208067940552016,0.12314225053078556,112.0,140.0,212.0,240.0,342.10000000000036,570.6500000000005,1378.1999999999953,3819.420000000009,6039.251,6043.4250999999995,6044.0,608.6403036443199
