Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,467,0,153.0,246.03426124197003,89,5241,823.3854389721628,0.9936170212765958,0.0,124.0,153.0,211.0,231.60000000000002,348.40000000000003,590.8999999999994,1120.5600000000002,2395.2999999999965,4718.614000000054,5188.761399999923,5241.0,417.4460913303609
DELETE,ToDo-Delete,247,1,157.0,268.5587044534413,94,3233,688.7368421052631,0.5311827956989247,0.002150537634408602,128.0,157.0,220.5,279.4000000000002,436.0000000000001,748.3,1642.1999999999998,1829.939999999998,3223.8980000000006,3232.0897999999993,3233.0,382.2057978972614
GET,ToDo-Get-All,469,0,188.0,265.1727078891258,102,3834,29892.953091684434,1.0,0.0,157.0,188.0,234.0,250.40000000000003,335.0,442.0,1488.2399999999966,2862.9199999999996,3620.592000000018,3812.6591999999914,3834.0,380.29905857680455
GET,ToDo-Get-Single,936,0,135.0,236.30555555555554,81,5273,836.9358974358975,1.9872611464968153,0.0,113.0,135.0,177.25,197.0,294.0,639.25,1366.5999999999922,2398.14999999999,4952.295000000018,5240.929499999978,5273.0,456.988024054822
UPDATE,ToDo-Update,765,3,155.0,262.9555555555556,86,6038,695.4366013071896,1.627659574468085,0.006382978723404255,125.0,155.0,225.0,251.4000000000001,397.80000000000007,694.1999999999998,1353.2800000000007,2082.1200000000003,6035.7080000000005,6037.7708,6038.0,463.4671132214374
,Aggregated,2884,4,153.5,252.40672676837724,81,6038,5509.644590846047,6.123142250530786,0.008492569002123142,123.0,153.5,211.0,235.0,350.7000000000003,646.8499999999999,1403.1800000000185,2494.9100000000017,5244.744000000006,6037.1350999999995,6038.0,434.66154534802826
