Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,353,0,136.0,155.6458923512748,86,873,823.8696883852691,0.7510638297872341,0.0,120.0,136.0,164.0,173.20000000000005,211.0,249.39999999999986,376.5599999999998,552.6000000000017,854.6960000000013,871.1695999999984,873.0,81.70471946811506
DELETE,ToDo-Delete,195,0,146.0,167.54871794871795,93,1212,689.8717948717949,0.41935483870967744,0.0,126.0,146.0,175.0,181.20000000000002,216.2,283.99999999999983,435.32000000000005,453.96000000000004,1067.8580000000086,1197.5857999999862,1212.0,98.30376567703813
GET,ToDo-Get-All,350,0,171.5,176.64857142857142,97,396,22754.757142857143,0.7494646680942184,0.0,147.0,171.5,199.5,211.0,233.0,250.10000000000002,292.5399999999995,333.54999999999995,392.5100000000001,395.6509999999995,396.0,45.1475065482418
GET,ToDo-Get-Single,708,0,133.0,142.13276836158192,83,998,820.9675141242938,1.5063829787234042,0.0,116.0,133.0,156.0,161.0,177.0,197.0,237.0200000000001,387.98999999999785,755.4990000000412,973.7498999999651,998.0,57.77635171261034
UPDATE,ToDo-Update,583,0,142.0,163.95197255574615,85,3372,689.869639794168,1.2430703624733475,0.0,123.0,142.0,169.5,178.60000000000002,220.60000000000014,263.9,375.5200000000001,474.5199999999993,1937.9520000002958,3228.5951999998615,3372.0,151.75199436084552
,Aggregated,2189,0,142.0,157.905893101873,83,3372,4281.843307446323,4.647558386411889,0.0,122.0,142.0,170.0,179.0,211.0,243.5999999999999,339.4399999999987,443.2399999999998,981.0800000000318,2899.3919999997815,3372.0,98.05934715250643
