Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,986,301,426.5,2251.049695740365,85,6057,1512.6440162271806,2.0670859538784065,0.6310272536687631,153.0,426.5,6033.0,6034.0,6036.0,6037.0,6038.0,6041.0,6053.06,6056.606,6057.0,2634.7161679871133
DELETE,ToDo-Delete,557,220,168.0,1320.1095152603232,53,6048,1056.8258527827647,1.1726315789473685,0.4631578947368421,98.0,168.0,686.0,2320.400000000007,6035.0,6036.0,6037.88,6038.44,6044.664000000001,6047.6664,6048.0,2227.40023487701
GET,ToDo-Get-All,975,177,344.0,1586.217435897436,109,6051,51176.97538461538,2.0440251572327046,0.3710691823899371,220.5,344.0,1682.0,3657.0000000000027,6035.0,6036.0,6038.0,6039.26,6049.052,6050.8052,6051.0,2248.441847864317
GET,ToDo-Get-Single,1965,354,236.0,1446.6941475826973,78,6077,11927.853435114504,4.119496855345912,0.7421383647798742,126.0,236.0,1214.0,2595.4000000000005,6035.0,6036.0,6038.0,6041.0,6053.036,6072.482799999994,6077.0,2244.4388885036374
UPDATE,ToDo-Update,1618,641,160.5,1153.749690976514,53,6100,970.9950556242275,3.392033542976939,1.3438155136268344,92.0,160.5,542.5,1192.0000000000007,6034.0,6035.0,6036.66,6038.0,6052.532000000001,6092.723499999995,6100.0,2072.574125040594
,Aggregated,6101,1693,244.0,1509.7392230781838,53,6100,12618.746435010655,12.79035639412998,3.549266247379455,125.0,244.0,1426.0,4013.0,6035.0,6036.0,6038.0,6039.0,6052.800000000001,6085.969999999987,6100.0,2295.4040070163837
