Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,1042,10,122.0,263.8397312859885,75,6060,845.7178502879078,2.217021276595745,0.02127659574468085,107.0,122.0,159.0,176.0,301.79999999999995,635.8999999999985,1743.1599999999744,5115.71999999995,6051.754000000001,6059.1672,6060.0,693.0858312548244
DELETE,ToDo-Delete,573,7,124.0,199.0715532286213,56,6050,692.4450261780105,1.21656050955414,0.014861995753715499,107.0,124.0,165.0,181.60000000000002,244.60000000000014,334.3999999999995,802.5599999999972,2124.879999999991,4872.824000000228,5932.282399999835,6050.0,404.8420784794342
GET,ToDo-Get-All,1047,11,243.0,391.55969436485196,106,6047,59763.72874880611,2.2229299363057327,0.02335456475583864,197.0,243.0,305.0,336.0,483.4,797.6999999999986,2483.879999999981,5827.759999999984,6044.678000000002,6046.7908,6047.0,720.2936595869818
GET,ToDo-Get-Single,2099,19,126.0,274.81657932348736,78,6051,1316.2987136731776,4.465957446808511,0.04042553191489362,106.5,126.0,180.0,205.4000000000001,362.0,724.1999999999998,1865.7199999999984,4984.419999999987,6039.0,6048.6921999999995,6051.0,682.7286252812161
UPDATE,ToDo-Update,1703,23,123.0,204.97651203758073,56,6042,695.283029947152,3.6157112526539277,0.04883227176220807,106.0,123.0,159.0,183.0,274.0,401.89999999999986,954.2400000000007,1755.2800000000025,6038.0,6041.319199999999,6042.0,447.87957994520445
,Aggregated,6464,70,133.0,266.84204826732673,56,6060,10488.491800742575,13.723991507430998,0.14861995753715498,110.0,133.0,212.0,241.0,347.6999999999998,609.0999999999967,1604.359999999997,3930.379999999992,6043.611000000001,6054.829599999997,6060.0,619.6296493275186
