Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,116,0,160.0,350.9913793103448,107,5866,823.6379310344828,0.2505399568034557,0.0,134.5,160.0,194.5,220.0,408.0,1778.5,2978.8000000000025,3478.499999999998,5596.440000000045,5839.043999999971,5866.0,750.677589517163
DELETE,ToDo-Delete,65,0,154.0,274.66153846153844,105,3391,689.6923076923077,0.1388888888888889,0.0,132.0,154.0,185.0,194.40000000000003,289.4,378.99999999999994,2230.3199999999993,2792.5999999999995,3331.1600000000067,3385.015999999994,3391.0,519.5932386529353
GET,ToDo-Get-All,114,0,166.0,243.1578947368421,94,3091,7319.929824561404,0.24675324675324675,0.0,149.25,166.0,189.0,196.20000000000002,250.4000000000001,417.69999999999897,1728.3599999999983,1901.3500000000004,2958.1120000000174,3077.7111999999934,3091.0,375.0740004613454
GET,ToDo-Get-Single,233,0,156.0,216.94849785407726,97,2325,820.480686695279,0.4968017057569296,0.0,134.0,156.0,188.0,201.80000000000007,273.2000000000001,491.5999999999974,1286.3199999999977,1485.2000000000007,2159.8160000000207,2308.481599999978,2325.0,251.85545408009136
UPDATE,ToDo-Update,193,1,159.0,240.24870466321244,97,6059,702.020725388601,0.4132762312633833,0.0021413276231263384,133.0,159.0,189.0,199.20000000000005,353.40000000000003,468.79999999999905,958.52,1153.9999999999845,5289.4640000000845,5982.046399999952,6059.0,466.5945892747803
,Aggregated,721,1,158.0,254.0984743411928,94,6059,1805.140083217753,1.5340425531914894,0.002127659574468085,135.0,158.0,189.0,203.0,299.0,539.0,1674.6000000000008,2375.399999999997,5920.040000000016,6045.1039999999775,6059.0,465.4523994165989
