Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,693,22,169.0,530.5685425685426,87,6056,895.7171717171717,1.4589473684210525,0.04631578947368421,122.0,169.0,290.0,357.60000000000036,858.6000000000005,2601.9999999999973,6036.0,6037.0,6048.388000000001,6055.2388,6056.0,1170.3066269776175
DELETE,ToDo-Delete,367,19,169.0,485.1389645776567,56,6158,744.1716621253406,0.7742616033755274,0.04008438818565401,124.0,169.0,303.0,387.60000000000014,711.4000000000008,2020.799999999999,6034.36,6041.0199999999995,6116.642000000002,6153.864199999997,6158.0,1067.56580774214
GET,ToDo-Get-All,697,3,223.0,346.17503586800575,105,6044,46502.668579626974,1.4642857142857142,0.0063025210084033615,178.0,223.0,296.0,325.0,450.0,764.7999999999994,1500.000000000002,4494.2799999999925,6042.608,6043.8608,6044.0,619.5658503191117
GET,ToDo-Get-Single,1388,7,136.5,235.21253602305475,82,6040,2355.9819884726226,2.9159663865546217,0.014705882352941176,111.0,136.5,190.0,220.60000000000014,306.5999999999999,459.8499999999988,1023.6199999999997,2318.459999999995,6039.0,6039.8613,6040.0,526.1590551678879
UPDATE,ToDo-Update,1138,58,160.0,453.9841827768014,55,6045,742.2275922671354,2.3907563025210083,0.12184873949579832,120.0,160.0,256.0,303.20000000000005,618.7000000000013,1979.4499999999887,6032.0,6036.63,6044.3150000000005,6045.0,6045.0,1052.352846426502
,Aggregated,4283,109,165.0,380.6030819519029,55,6158,8737.091057669857,8.979035639412999,0.22851153039832284,122.0,165.0,253.0,286.60000000000036,484.8000000000002,1185.0,4498.959999999988,6035.18,6045.0,6114.323599999971,6158.0,882.0052999794317
