Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,858,124,214.5,1254.2750582750582,80,6063,1150.586247086247,1.8025210084033614,0.2605042016806723,138.0,214.5,750.25,1445.2000000000012,6035.0,6037.0,6038.86,6040.0,6046.717000000002,6061.371699999998,6063.0,2092.778571809671
DELETE,ToDo-Delete,489,127,187.0,1201.8425357873211,56,6045,1018.5357873210634,1.0273109243697478,0.2668067226890756,124.0,187.0,597.0,1291.400000000001,6035.0,6037.0,6039.0,6041.0,6045.0,6045.0,6045.0,2099.1190476920838
GET,ToDo-Get-All,852,27,256.5,617.2957746478874,106,6079,51102.30046948357,1.7899159663865547,0.05672268907563025,186.0,256.5,427.0,510.2000000000006,1049.6,2442.5999999999995,6036.0,6038.0,6056.874000000003,6076.7873999999965,6079.0,1154.9287134261183
GET,ToDo-Get-Single,1719,73,164.0,596.1023851076208,82,6041,7959.596276905178,3.6037735849056602,0.1530398322851153,120.0,164.0,311.0,382.0,1102.6000000000004,4702.199999999982,6036.0,6037.0,6039.282,6040.8282,6041.0,1316.7181023689416
UPDATE,ToDo-Update,1410,303,185.0,961.8475177304964,53,6057,921.0354609929078,2.9559748427672954,0.6352201257861635,121.0,185.0,468.75,701.6000000000001,6031.0,6036.0,6038.0,6040.0,6052.319000000001,6056.8591,6057.0,1832.7991201366888
,Aggregated,5328,654,196.0,857.865990990991,53,6079,11262.318506006006,11.169811320754716,1.371069182389937,130.0,196.0,417.25,606.6000000000004,2921.4000000000015,6036.0,6038.0,6039.0,6046.673000000001,6070.476799999989,6079.0,1685.0505524849407
