Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,826,2,131.0,199.06053268765135,83,6036,829.4794188861986,1.753715498938429,0.004246284501061571,115.0,131.0,171.0,185.0,287.0,445.5,717.5,1368.25,6034.35,6035.835,6036.0,354.41194482463845
DELETE,ToDo-Delete,457,4,135.0,198.92560175054706,59,6041,699.7636761487965,0.9785867237687366,0.008565310492505354,114.0,135.0,176.0,189.8,279.0,346.79999999999995,511.7599999999999,1118.76,6038.72,6040.772,6041.0,419.39407908978535
GET,ToDo-Get-All,820,0,220.0,253.75853658536585,112,4897,50099.00365853659,1.7409766454352442,0.0,185.0,220.0,266.0,279.0,332.1,392.1999999999998,590.5400000000001,827.8299999999977,3122.2270000000867,4719.522699999713,4897.0,228.5156759430345
GET,ToDo-Get-Single,1649,5,130.0,183.1273499090358,82,6045,947.8211036992117,3.5010615711252653,0.010615711252653927,112.0,130.0,161.0,171.4000000000001,225.0,322.99999999999955,559.7199999999984,953.7599999999993,6037.0,6043.681599999998,6045.0,368.8934444189358
UPDATE,ToDo-Update,1323,6,132.0,225.6039304610733,60,6042,695.0589569160998,2.8089171974522293,0.012738853503184714,113.0,132.0,172.5,190.60000000000014,274.79999999999995,473.89999999999986,1153.3199999999974,2402.8599999999988,6036.678,6041.338999999999,6042.0,481.5964299871526
,Aggregated,5075,17,140.0,209.62876847290642,59,6045,8781.999014778325,10.774946921443737,0.036093418259023353,117.0,140.0,196.0,216.0,283.60000000000036,416.0,716.0,1406.4800000000105,6037.0,6043.477799999999,6045.0,387.20161006225874
