Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time, Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,sd
CREATE,ToDo-Create,12,0,191.0,197.91666666666666,157,262,823.4166666666666,0.028037383177570093,0.0,177.0,191.0,222.5,223.6,224.0,241.09999999999997,253.64,257.82000000000005,261.58200000000005,261.9582,262.0,31.259786346426658
DELETE,ToDo-Delete,6,0,184.0,191.16666666666666,175,217,689.3333333333334,0.014018691588785047,0.0,180.25,184.0,202.0,207.0,212.0,214.5,216.0,216.5,216.95000000000002,216.995,217.0,16.880955739135942
GET,ToDo-Get-All,12,0,194.5,198.75,149,292,1510.4166666666667,0.028037383177570093,0.0,173.75,194.5,213.5,214.6,232.1,260.09999999999997,279.23999999999995,285.62,291.362,291.93619999999993,292.0,38.222137802349806
GET,ToDo-Get-Single,24,0,179.0,183.25,124,232,820.5416666666666,0.053691275167785234,0.0,164.5,179.0,203.5,209.00000000000003,227.7,231.0,231.54,231.77,231.977,231.9977,232.0,30.770186021961045
UPDATE,ToDo-Update,18,0,199.5,192.55555555555554,130,276,689.3888888888889,0.04205607476635514,0.0,171.0,199.5,206.5,212.4,218.5,230.0999999999999,257.64,266.81999999999994,275.08200000000005,275.90819999999985,276.0,32.976323453301035
,Aggregated,72,0,192.5,191.26388888888889,124,292,892.2777777777778,0.1565217391304348,0.0,172.25,192.5,210.75,215.8,224.0,232.9,270.12,280.6400000000001,290.86400000000003,291.88639999999987,292.0,31.685511442420527
